id_name,category,price_chf,old_price,sellable_online,link,other_colors,description,designer,width,length,depth
421915_SUNDLANDET,Wardrobes,179,SR 895,TRUE,https://www.ikea.com/sa/en/p/sundlandet-open-wardrobe-white-00421915/,No,"Open wardrobe,          79x44x187 cm",Ola Wihlborg,44,187,79
59094412_PAX,Wardrobes,645,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-undredal-black-s59094412/,No,"Wardrobe,          150x60x236 cm",Ehlén Johansson/Ebba Strandmark/IKEA of Sweden,60,236,150
59221660_PAX,Wardrobes,1310,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-undredal-undredal-glass-s59221660/,No,"Wardrobe,          300x60x236 cm",IKEA of Sweden/Ehlén Johansson/Ebba Strandmark,60,236,300
79306173_PAX,Wardrobes,943.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-hokksund-high-gloss-light-beige-s79306173/,No,"Wardrobe,          200x66x236 cm",Ehlén Johansson/IKEA of Sweden,66,236,200
99246475_PAX,Wardrobes,803.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-vikedal-s99246475/,Yes,"Wardrobe,          200x60x236 cm",Ehlén Johansson/IKEA of Sweden,60,236,200
9303309_PAX,Wardrobes,758.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-hasvik-white-s09303309/,No,"Wardrobe,          150x66x236 cm",Ehlén Johansson/IKEA of Sweden,66,236,150
89227873_PAX,Wardrobes,374.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-s89227873/,Yes,"Wardrobe,          150x58x201 cm",Ehlén Johansson/IKEA of Sweden,58,201,150
69157475_ELVARLI,Wardrobes,111,SR 730,TRUE,https://www.ikea.com/sa/en/p/elvarli-1-section-white-s69157475/,No,"1 section,          84x40x216 cm",Ehlén Johansson/IKEA of Sweden,40,216,84
29330571_PAX / MEHAMN,Wardrobes,431.25,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-mehamn-wardrobe-combination-white-white-stained-oak-effect-s29330571/,No,"Wardrobe combination,          150x44x236 cm",IKEA of Sweden/Ehlén Johansson,44,236,150
99248587_PLATSA,Wardrobes,449,"SR 2,245",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s99248587/,No,"Wardrobe,          240x57x231 cm",Ola Wihlborg/IKEA of Sweden,57,231,240
